Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
Date,,,,,,
1998-11-27 00:00:00+00:00,2.2513718605041504,3.4000000953674316,3.549999952316284,2.7100000381469727,3.549999952316284,21000
1998-11-30 00:00:00+00:00,2.125559091567993,3.2100000381469727,3.299999952316284,3.0999999046325684,3.25,132000
1998-12-01 00:00:00+00:00,2.2447493076324463,3.390000104904175,3.4600000381469727,3.2200000286102295,3.2899999618530273,123500
1998-12-02 00:00:00+00:00,2.2447493076324463,3.390000104904175,3.440000057220459,3.319999933242798,3.359999895095825,75500
1998-12-03 00:00:00+00:00,2.2447493076324463,3.390000104904175,3.490000009536743,3.369999885559082,3.440000057220459,102000
1998-12-04 00:00:00+00:00,2.2447493076324463,3.390000104904175,3.4100000858306885,3.299999952316284,3.3399999141693115,71000
1998-12-07 00:00:00+00:00,2.2381277084350586,3.380000114440918,3.440000057220459,3.3499999046325684,3.380000114440918,26000
1998-12-08 00:00:00+00:00,2.1454241275787354,3.240000009536743,3.4000000953674316,3.2300000190734863,3.380000114440918,32500
1998-12-09 00:00:00+00:00,2.1454241275787354,3.240000009536743,3.3399999141693115,3.2300000190734863,3.2899999618530273,15000
1998-12-10 00:00:00+00:00,2.1189379692077637,3.200000047683716,3.2699999809265137,3.190000057220459,3.240000009536743,36000
1998-12-11 00:00:00+00:00,2.0924508571624756,3.1600000858306885,3.240000009536743,3.119999885559082,3.2200000286102295,37500
1998-12-14 00:00:00+00:00,2.105694055557251,3.180000066757202,3.259999990463257,3.1600000858306885,3.259999990463257,18500
1998-12-15 00:00:00+00:00,2.0858287811279297,3.1500000953674316,3.200000047683716,3.1500000953674316,3.200000047683716,8500
1998-12-16 00:00:00+00:00,2.0725860595703125,3.130000114440918,3.1600000858306885,3.0999999046325684,3.140000104904175,43000
1998-12-17 00:00:00+00:00,2.0394766330718994,3.0799999237060547,3.119999885559082,3.0299999713897705,3.0299999713897705,14000
1998-12-18 00:00:00+00:00,1.9865037202835083,3.0,3.119999885559082,2.990000009536743,3.059999942779541,72500
1998-12-21 00:00:00+00:00,2.0196123123168945,3.049999952316284,3.1600000858306885,3.049999952316284,3.1500000953674316,35500
1998-12-22 00:00:00+00:00,2.026233673095703,3.059999942779541,3.069999933242798,3.0,3.069999933242798,22000
1998-12-23 00:00:00+00:00,2.0129904747009277,3.0399999618530273,3.069999933242798,3.0,3.0399999618530273,20000
1998-12-24 00:00:00+00:00,1.9865037202835083,3.0,3.059999942779541,2.9200000762939453,2.9200000762939453,29000
1998-12-25 00:00:00+00:00,1.9865037202835083,3.0,3.0,3.0,3.0,0
1998-12-28 00:00:00+00:00,1.9865037202835083,3.0,3.069999933242798,3.0,3.0,11000
1998-12-29 00:00:00+00:00,2.0196123123168945,3.049999952316284,3.0999999046325684,3.0,3.009999990463257,24000
1998-12-30 00:00:00+00:00,2.2579925060272217,3.4100000858306885,3.5399999618530273,3.130000114440918,3.130000114440918,47000
1998-12-31 00:00:00+00:00,2.1454241275787354,3.240000009536743,3.4000000953674316,3.2100000381469727,3.4000000953674316,48500
1999-01-01 00:00:00+00:00,2.1652889251708984,3.2699999809265137,3.3399999141693115,3.2300000190734863,3.319999933242798,337500
1999-01-04 00:00:00+00:00,2.2579925060272217,3.4100000858306885,3.5399999618530273,3.4000000953674316,3.4000000953674316,50000
1999-01-05 00:00:00+00:00,2.1189379692077637,3.200000047683716,3.359999895095825,3.1700000762939453,3.359999895095825,44000
1999-01-06 00:00:00+00:00,2.1189379692077637,3.200000047683716,3.2699999809265137,3.1500000953674316,3.2699999809265137,47000
1999-01-07 00:00:00+00:00,2.2182624340057373,3.3499999046325684,3.559999942779541,3.200000047683716,3.200000047683716,104000
1999-01-08 00:00:00+00:00,2.2579925060272217,3.4100000858306885,3.549999952316284,3.4000000953674316,3.440000057220459,220000
1999-01-11 00:00:00+00:00,2.324209451675415,3.509999990463257,3.6500000953674316,3.4100000858306885,3.5999999046325684,172500
